Source,G,C,R,Vab,Prior,Truth,Explanation,Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev
Grid,0.4897959183673469,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.3568844032136337,0.9996918052118149
Grid,0.5102040816326531,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.36001911808160886,0.9997679896299755
Grid,0.5306122448979592,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.3616080768578873,0.9998067635443825
Grid,0.5510204081632654,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.36170110082876616,0.9998143340231574
Grid,0.5714285714285715,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.36029946239002963,0.9997919100011112
Grid,0.5918367346938777,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.35735585032101835,0.9997358916980928
Grid,0.6122448979591838,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.35277452385311603,0.9996373010006707
Grid,0.6326530612244898,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.34641206364425625,0.9994803649769606
Grid,0.653061224489796,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.3380796325155486,0.9992400351121643
Grid,0.6734693877551021,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.32754833182850285,0.998878062919785
Grid,0.6938775510204083,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.3145601517153242,0.9983370339939954
Grid,0.7142857142857144,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.29884817277255354,0.9975314536806077
Grid,0.7346938775510206,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.2801709057894061,0.9963345285892022
Grid,0.7551020408163266,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.2583663482936158,0.9945586214093113
Grid,0.7755102040816327,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.23343007920465375,0.9919263443558328
Grid,0.7959183673469389,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.20561595971476873,0.9880276800988665
Grid,0.816326530612245,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.1755445286841512,0.9822559889493355
Grid,0.8367346938775512,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.14428181700028145,0.9737115731122419
Grid,0.8571428571428572,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.11332738599602883,0.961054364503212
Grid,0.8775510204081634,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.08444752435101201,0.9422751742863266
Grid,0.8979591836734694,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.05933898481475704,0.9143348435439547
Grid,0.9183673469387754,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.03921481938326867,0.872590171250053
Grid,0.9387755102040817,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.024502250133062425,0.8098818606398266
Grid,0.959183673469388,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.014828810124326361,0.7149915918547392
Grid,0.979591836734694,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.009329186070830948,0.568762815816662
Grid,1.0,0.0,0.04081632653061224,0.4086272711092749,0,,,-0.4054651081081643,,0.007333970833292999,0.4013094393566328
Grid,0.0,0.0,0.06122448979591837,0.4086272711092749,0,,,-0.4054651081081643,,0.007179766876900443,0.4889783659672929
Grid,0.020408163265306124,0.0,0.06122448979591837,0.4086272711092749,0,,,-0.4054651081081643,,0.006094761617877027,0.5644881750738711
