d,Method,random_seed,epsilonX,epsilonEI,i,EI,y,y*,R,t (s),m (MB)
2,gridBO,4,0.001,nan,1,0.00973656781934543,2.0018008971138594,-1.9101873427908376,0.0,0.25016006699297577,nan
2,gridBO,4,0.001,nan,2,0.010638650244194492,1.5799799370837886,-1.9101873427908376,0.42182096003007086,0.036269987002015114,nan
2,gridBO,4,0.001,nan,3,0.020823730674319363,1.6528920448875783,-1.9101873427908376,0.4947330678338595,0.04070152298663743,nan
2,gridBO,4,0.001,nan,4,0.03477222044912464,1.6644894854315226,-1.9101873427908376,0.5792426161815936,0.03781672299373895,nan
2,gridBO,4,0.001,nan,5,0.04154067010217562,1.082543064752834,-1.9101873427908376,2.56899010550541,0.04192411500844173,nan
2,gridBO,4,0.001,nan,6,0.08514200938248583,0.9691332689647472,-1.9101873427908376,3.1360390844458443,0.042034803016576916,nan
2,gridBO,4,0.001,nan,7,0.035517363276956246,0.43279291238645445,-1.9101873427908376,6.3540812239156,0.04455045098438859,nan
2,gridBO,4,0.001,nan,8,1.0346517762432987,-0.7206552338344725,-1.9101873427908376,14.428218247462087,0.048182146972976625,nan
2,gridBO,4,0.001,nan,9,0.0372137821414308,0.42875365101900087,-1.9101873427908376,15.57762713231556,0.04879981200792827,nan
2,gridBO,4,0.001,nan,10,0.31953967054886573,-0.6923964931913202,-1.9101873427908376,15.605885872958712,0.05053725201287307,nan
2,gridBO,5,0.001,nan,1,0.1766162065483115,0.09685159365265772,-1.9101873427908376,0.0,0.2519242560083512,nan
2,gridBO,5,0.001,nan,2,0.12115569614993653,-1.7937646619526277,-1.9101873427908376,1.8906162556052855,0.036310586001491174,nan
2,gridBO,5,0.001,nan,3,0.19093075554293285,-1.4139053112718676,-1.9101873427908376,2.2704756062860456,0.041104331001406536,nan
2,gridBO,5,0.001,nan,4,0.08574815387440828,0.5782281745080369,-1.9101873427908376,4.6424684427467104,0.03873994600144215,nan
2,gridBO,5,0.001,nan,5,0.03821615915390427,1.7395939984310886,-1.9101873427908376,8.175827103130427,0.04200725900591351,nan
2,gridBO,5,0.001,nan,6,0.07031485709436512,-1.905254676854161,-1.9101873427908376,8.733277177638092,0.040831659018294886,nan
2,gridBO,5,0.001,nan,7,0.0913855119380563,1.3464856279513298,-1.9101873427908376,11.985017482443583,0.04368910001358017,nan
2,gridBO,5,0.001,nan,8,0.05681153336194933,1.9999411898211628,-1.9101873427908376,15.890213349118905,0.04758537301677279,nan
2,gridBO,5,0.001,nan,9,0.0381786285268406,1.9772175336603304,-1.9101873427908376,19.772685559633395,0.04873102100100368,nan
2,gridBO,5,0.001,nan,10,0.019491443499621276,2.1922706059506134,-1.9101873427908376,23.870210842438173,0.049541324988240376,nan
2,gridBO,6,0.001,nan,1,0.03631577878086353,-0.8927859043504949,-1.9101873427908376,0.0,0.25721807198715396,nan
2,gridBO,6,0.001,nan,2,0.10995093987401215,-1.0341810146148989,-1.9101873427908376,0.141395110264404,0.03629224299220368,nan
2,gridBO,6,0.001,nan,3,0.25672589020544595,-1.7736668004543947,-1.9101873427908376,1.6203666819433957,0.040885398018872365,nan
2,gridBO,6,0.001,nan,4,0.16121182375717813,0.9086669400755487,-1.9101873427908376,4.30270042247334,0.03788608399918303,nan
2,gridBO,6,0.001,nan,5,0.19117114399615687,-1.7001652417455646,-1.9101873427908376,4.37620198118217,0.04142496699932963,nan
2,gridBO,6,0.001,nan,6,0.09631737632311355,2.123714855467062,-1.9101873427908376,8.273583637103627,0.04022805401473306,nan
2,gridBO,6,0.001,nan,7,0.08442889621387765,1.9999411898211628,-1.9101873427908376,12.047191627379183,0.04474685600143857,nan
2,gridBO,6,0.001,nan,8,0.07400263563136567,-1.9082526943421811,-1.9101873427908376,12.989292884593688,0.047416458022780716,nan
2,gridBO,6,0.001,nan,9,0.07342728664874754,0.9963613255773642,-1.9101873427908376,15.893906904513234,0.04771135401097126,nan
2,gridBO,6,0.001,nan,10,0.013865436840553993,2.1922706059506134,-1.9101873427908376,19.994430204806026,0.04960234701866284,nan
2,gridBO,7,0.001,nan,1,0.012701297230731238,1.9995628748325525,-1.9101873427908376,0.0,0.250733313994715,nan
2,gridBO,7,0.001,nan,2,0.014612678558488421,1.707604594652875,-1.9101873427908376,0.29195828017967784,0.036351865011965856,nan
2,gridBO,7,0.001,nan,3,0.019295671540718592,1.5658463055461067,-1.9101873427908376,0.5754748583932141,0.04138686100486666,nan
2,gridBO,7,0.001,nan,4,0.12902846476965243,1.3147522048002136,-1.9101873427908376,1.328757160630893,0.03799962700577453,nan
2,gridBO,7,0.001,nan,5,0.07629632045889254,0.17103083890381243,-1.9101873427908376,5.903642624216497,0.04842936299974099,nan
2,gridBO,7,0.001,nan,6,0.9415925265091122,0.7587857136661658,-1.9101873427908376,6.4913974989788485,0.04032119698240422,nan
2,gridBO,7,0.001,nan,7,0.18307281932534225,0.41562742007350795,-1.9101873427908376,6.735994080148542,0.04385220797848888,nan
2,gridBO,7,0.001,nan,8,0.20964369503590594,-0.9126760900030777,-1.9101873427908376,14.321942582496774,0.047703618998639286,nan
2,gridBO,7,0.001,nan,9,0.3510503338776793,-0.3859757310725058,-1.9101873427908376,14.848642941427347,0.04819609801052138,nan
2,gridBO,7,0.001,nan,10,0.07246930604538157,-0.8852677611697541,-1.9101873427908376,14.876051270260671,0.04970382800092921,nan
2,gridBO,8,0.001,nan,1,0.11569084127952155,-0.26285816730295064,-1.9101873427908376,0.0,0.23716199499904178,nan
2,gridBO,8,0.001,nan,2,0.016745576457850405,1.9999411898211628,-1.9101873427908376,2.2627993571241136,0.03617631900124252,nan
2,gridBO,8,0.001,nan,3,0.15167601146742957,-0.06792531434792037,-1.9101873427908376,2.4577322100791434,0.04114478698465973,nan
2,gridBO,8,0.001,nan,4,0.027949260370815174,0.8972698007808437,-1.9101873427908376,3.617860178162937,0.0377924170170445,nan
2,gridBO,8,0.001,nan,5,0.10140898021985521,-0.7463872985547493,-1.9101873427908376,5.551976703170132,0.04159101101686247,nan
2,gridBO,8,0.001,nan,6,0.04305300876280204,-1.4021422174232399,-1.9101873427908376,8.830751297512585,0.04038005098118447,nan
2,gridBO,8,0.001,nan,7,0.05311371956249256,1.9633053447125943,-1.9101873427908376,12.196198859648419,0.04314898099983111,nan
2,gridBO,8,0.001,nan,8,0.139038978095511,-0.49359294320643654,-1.9101873427908376,13.104748133865222,0.04734580099466257,nan
2,gridBO,8,0.001,nan,9,0.1801196687896953,-0.9555620372028648,-1.9101873427908376,13.551328314085595,0.04905807398608886,nan
2,gridBO,8,0.001,nan,10,0.08719866273949019,-1.9082264938915325,-1.9101873427908376,18.10608680230023,0.04984369099838659,nan
2,gridBO,9,0.001,nan,1,0.11295042474470952,0.7102145683874377,-1.9101873427908376,0.0,0.25115372400614433,nan
2,gridBO,9,0.001,nan,2,0.10618608173470565,2.0956751715610773,-1.9101873427908376,1.3854606031736392,0.03645523602608591,nan
2,gridBO,9,0.001,nan,3,0.014193555214982848,1.8378834860086597,-1.9101873427908376,2.5131295207948607,0.04161199400550686,nan
2,gridBO,9,0.001,nan,4,0.09391203348335163,-0.010346423662457305,-1.9101873427908376,4.674812496944545,0.03752583000459708,nan
2,gridBO,9,0.001,nan,5,0.3116550483520506,-1.2911063954370552,-1.9101873427908376,9.797852384042937,0.04167631402378902,nan
2,gridBO,9,0.001,nan,6,0.3778374701631659,0.953980812558461,-1.9101873427908376,12.042939592038454,0.04002819999004714,nan
2,gridBO,9,0.001,nan,7,0.06337185915459587,-1.4192414262461304,-1.9101873427908376,12.811749776892906,0.04363647600985132,nan
2,gridBO,9,0.001,nan,8,0.0008692790946009999,-1.4131702551321412,-1.9101873427908376,12.817820948006897,0.04760721602360718,nan
2,gridBO,9,0.001,nan,9,0.0013833846430730717,-1.909175023574048,-1.9101873427908376,16.737289726630237,0.04799633601214737,nan
2,gridBO,9,0.001,nan,10,0.16816065554891432,-1.3991975406683412,-1.9101873427908376,17.247267209535945,0.05006009901990183,nan
2,exactBO,0,1e-05,0.1,1,0.2159517516947348,-1.9038191448624353,-1.9101873427908376,0.0,0.306217,nan
2,exactBO,0,1e-05,0.1,2,0.3060134947037945,-0.016130243305293668,-1.9101873427908376,1.8876889015571416,0.146639,nan
2,exactBO,0,1e-05,0.1,3,0.1924015655442099,1.956614344492491,-1.9101873427908376,5.748122390912068,1.650095,nan
2,exactBO,0,1e-05,0.1,4,0.2350513370687561,-1.4001698097534465,-1.9101873427908376,6.251771726021056,0.220389,nan
2,exactBO,0,1e-05,0.1,5,0.15430202934250026,-1.7180930446209368,-1.9101873427908376,6.437497826262554,0.895518,nan
2,exactBO,0,1e-05,0.1,6,0.3795960052049011,0.601691157776858,-1.9101873427908376,8.943008128901848,2.568135,nan
2,exactBO,0,1e-05,0.1,7,0.07710245353141622,2.192269904429991,-1.9101873427908376,13.039097178194273,1.62626,nan
